Enrolment_Date,Freq,EnrolmentDate,Sem date,DAY,MONTH,YEAR,Combined Date
Semester 1 2017,22814,31/3/2017,4-Jan,31,3,2017,31/3/2017
Semester 1 2018,23070,31/3/2018,4-Jan,31,3,2018,31/3/2018
Semester 1 2019,28914,31/3/2019,4-Jan,31,3,2019,31/3/2019
Semester 1 2020,26426,31/3/2020,4-Jan,31,3,2020,31/3/2020
Semester 1 2021,20588,31/3/2021,4-Jan,31,3,2021,31/3/2021
Semester 2 2017,15360,31/8/2017,Jul-16,31,8,2017,31/8/2017
Semester 2 2018,16090,31/8/2018,Jul-16,31,8,2018,31/8/2018
Semester 2 2019,25722,31/8/2019,Jul-16,31,8,2019,31/8/2019
Semester 2 2020,15058,31/8/2020,Jul-16,31,8,2020,31/8/2020
Semester 2 2021,12718,31/8/2021,Jul-16,31,8,2021,31/8/2021
Semester 3 2017,2575,30/11/2017,Oct-29,30,11,2017,30/11/2017
Semester 3 2018,3217,30/11/2018,Oct-29,30,11,2018,30/11/2018
Semester 3 2019,5673,30/11/2019,Oct-29,30,11,2019,30/11/2019
Semester 3 2020,3573,30/11/2020,Oct-29,30,11,2020,30/11/2020
Semester 3 2021,1183,30/11/2021,Oct-29,30,11,2021,30/11/2021
Semester 1 2022,20588,31/3/2022,4-Jan,31,3,2022,31/3/2022
Semester 2 2022,12718,31/8/2022,Jul-16,31,8,2022,31/8/2022
Semester 3 2022,1183,30/11/2022,Oct-29,30,11,2022,30/11/2022
Semester 1 2023,20588,31/3/2023,4-Jan,31,3,2023,31/3/2023
Semester 2 2023,12718,31/8/2023,Jul-16,31,8,2023,31/8/2023
Semester 3 2023,1183,30/11/2023,Oct-29,30,11,2023,30/11/2023
Semester 1 2024,20588,31/3/2024,4-Jan,31,3,2024,31/3/2024
Semester 2 2024,12718,31/8/2024,Jul-16,31,8,2024,31/8/2024
Semester 3 2024,1183,30/11/2024,Oct-29,30,11,2024,30/11/2024
